,Name,Adress,Rating,RoomType,Price,RoomSize
0,Two Seasons Siem Reap Hotel,"Angkor Night Market Street, Siem Reap, Cambodia",9.2,Deluxe Twin Room with Balcony - Free one way Transfer,"KHR 267,319",32 m²
1,Two Seasons Siem Reap Hotel,"Angkor Night Market Street, Siem Reap, Cambodia",9.2,Junior Suite with Balcony - Free one way Transfer,"KHR 323,010",38 m²
