,Name,Adress,Rating,RoomType,RoomSize,Price
0,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe King Room,36 m²,"KHR 172,437"
1,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe King Room,36 m²,"KHR 201,479"
2,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe King Room,36 m²,"KHR 263,194"
3,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe King Room,36 m²,"KHR 319,463"
4,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Double Room with Balcony,38 m²,"KHR 203,294"
5,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Double Room with Balcony,38 m²,"KHR 232,336"
6,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Double Room with Balcony,38 m²,"KHR 294,051"
7,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Double Room with Balcony,38 m²,"KHR 350,320"
8,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Twin Room with Balcony,38 m²,"KHR 203,294"
9,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Twin Room with Balcony,38 m²,"KHR 232,336"
10,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Twin Room with Balcony,38 m²,"KHR 294,051"
11,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Twin Room with Balcony,38 m²,"KHR 350,320"
12,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Family Room,38 m²,"KHR 265,009"
13,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Family Room,38 m²,"KHR 308,572"
14,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Family Suite,50 m²,"KHR 439,261"
15,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Deluxe Family Suite,50 m²,"KHR 497,345"
16,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Family Suite,68 m²,"KHR 528,202"
17,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Family Suite,68 m²,"KHR 600,807"
18,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Family Suite,68 m²,"KHR 618,959"
19,Chhay Long Angkor Boutique Hotel Siem Reap,"Steung Thmei Road, Steung Thmei Village, Svay Dangkum Commune, Siem Reap, Cambodia",8.1,Family Suite,68 m²,"KHR 718,791"
