,Name,Adress,Rating,RoomType,RoomSize,Price
0,Marvel Holiday Boutique Villa,"7 Makara Street, Chunlung, Salakamroeuk, Siem Reap, Kemboja",6.7,Bilik Deluxe Double dengan Balkoni,40 m²,"KHR 204,202"
1,Marvel Holiday Boutique Villa,"7 Makara Street, Chunlung, Salakamroeuk, Siem Reap, Kemboja",6.7,Bilik Twin dengan Pemandangan Taman,40 m²,"KHR 241,330"
2,Marvel Holiday Boutique Villa,"7 Makara Street, Chunlung, Salakamroeuk, Siem Reap, Kemboja",6.7,Bilik Deluxe King,40 m²,"KHR 241,330"
3,Marvel Holiday Boutique Villa,"7 Makara Street, Chunlung, Salakamroeuk, Siem Reap, Kemboja",6.7,Bilik Deluxe Triple,40 m²,"KHR 297,021"
