,Name,Adress,Rating,URL,RoomType,RoomSize,Price
0,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior Double Room ,40 m²,"KHR 257,294"
1,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior Double Room ,40 m²,"KHR 285,883"
2,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior Twin Room ,40 m²,"KHR 257,294"
3,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior Twin Room ,40 m²,"KHR 285,883"
4,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Deluxe Double Room ,40 m²,"KHR 290,420"
5,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Deluxe Twin Room ,40 m²,"KHR 290,420"
6,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Champei Room ,42 m²,"KHR 326,723"
7,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Presidential Suite,80 m²,"KHR 1,570,911"
8,Prince d'Angkor Hotel & Spa,"Sivutha Bulvard, Sangkat Svay Dangkum, Siem Reap, Cambodia",8.5,https://www.booking.com/hotel/kh/prince-d-angkor-spa.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEITcHJpbmNlLWQtYW5na29yLXNwYUgzWANoeIgBAZgBCbgBF8gBDNgBAegBAfgBDIgCAagCA7gC3uHYogbAAgHSAiRlNmU2ZmFjOS0zY2M0LTQ5MGEtYWJmMS02ZTAxNzYyOTFhMGHYAgbgAgE&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=9&checkin_monthday=20&checkin_year=2023&checkout_month=9&checkout_monthday=21&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Royal Suite with Pool View,80 m²,"KHR 2,125,350"
