,Name,Adress,Rating,URL,RoomType,RoomSize,Price
0,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Economy Double Room,15 m²,"KHR 68,067"
1,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Standard Double Room,20 m²,"KHR 76,318"
2,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Standard Twin Room,20 m²,"KHR 78,381"
3,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Double Room with Balcony,20 m²,"KHR 82,506"
4,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior King Room,25 m²,"KHR 90,756"
5,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Twin Room with Balcony,30 m²,"KHR 94,882"
6,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Superior Queen Room with Two Queen Beds,35 m²,"KHR 107,258"
7,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Triple Room with Balcony,35 m²,"KHR 111,383"
8,DEN HOTEL TOTONOU SIEM REAP,"497 Taphul Street, Krong Siem Reap, Siem Reap, Cambodia",9.0,https://www.booking.com/hotel/kh/den-totonou-siem-reap.en-gb.html?aid=356980&label=gog235jc-1FCAsoeEIVZGVuLXRvdG9ub3Utc2llbS1yZWFwSDNYA2h4iAEBmAEJuAEXyAEM2AEB6AEB-AEMiAIBqAIDuAKi8diiBsACAdICJDhmZTExZDI3LWJhNjYtNDlkYi05YjQwLTY0YjljMjk2OWQ2Y9gCBuACAQ&sid=42cbc141abd816955d8fbe7ce58d0863&checkin_month=10&checkin_monthday=9&checkin_year=2023&checkout_month=10&checkout_monthday=10&checkout_year=2023&dist=0&do_availability_check=1&group_adults=2&group_children=0&hp_avform=1&hp_group_set=0&no_rooms=1&origin=hp&sb_price_type=total&src=hotel&stay_on_hp=1&type=total&#availability_target,Standard Quadruple Room,30 m²,"KHR 111,383"
