,Name,Adress,Rating,RoomType,RoomSize,Price
0,Anansaya La Maison,"Street 30, Veal Village, Kouk Chork Commune, Siem Reap, Siem Reap, Cambodia",9.7,Landmark Room - Free Airport Transfers + Mini-Bar,42 m²,"KHR 392,728"
1,Anansaya La Maison,"Street 30, Veal Village, Kouk Chork Commune, Siem Reap, Siem Reap, Cambodia",9.7,Deluxe King Room - Free Airport Transfers + Mini-Bar,42 m²,"KHR 420,780"
2,Anansaya La Maison,"Street 30, Veal Village, Kouk Chork Commune, Siem Reap, Siem Reap, Cambodia",9.7,Classic Suite + Free Airport Transfers + Mini - Bar,65 m²,"KHR 420,780"
3,Anansaya La Maison,"Street 30, Veal Village, Kouk Chork Commune, Siem Reap, Siem Reap, Cambodia",9.7,Cabana King Room - Free Airport Transfers + Mini-Bar,59 m²,"KHR 420,780"
4,Anansaya La Maison,"Street 30, Veal Village, Kouk Chork Commune, Siem Reap, Siem Reap, Cambodia",9.7,Deluxe King Room - Free Daily 60mn Spa Treatment + Airport Pickup ,42 m²,"KHR 422,430"
