,Name,Adress,Rating,RoomType,RoomSize,Price
0,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Tingkat Bawah - Bilik Queen,25 m²,"KHR 115,508"
1,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Tingkat Bawah - Bilik Queen,25 m²,"KHR 148,510"
2,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Queen,28 m²,"KHR 123,759"
3,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Queen,28 m²,"KHR 165,012"
4,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Twin,40 m²,"KHR 144,385"
5,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Twin,40 m²,"KHR 185,638"
6,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Deluxe Queen,45 m²,"KHR 206,265"
7,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Deluxe Queen,45 m²,"KHR 247,517"
8,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Family,30 m²,"KHR 185,638"
9,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Family,30 m²,"KHR 226,891"
10,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Triple,45 m²,"KHR 206,265"
11,Beyond Yangon Inn,"Wat Damanak Market Street (Infront of Wat Damnak Primary School), Siem Reap, Kemboja",9.0,Bilik Superior Triple,45 m²,"KHR 247,517"
