,Name,Adress,Rating,RoomType,RoomSize,Price
0,The Siem Reap Chilled Backpacker,"Wat Bo Street, Banteay Chas, Slor Kram, Siem Reap, Cambodia",8.6,2 Beds in Mixed Dormitory Room,48 m²,"KHR 31,558"
1,The Siem Reap Chilled Backpacker,"Wat Bo Street, Banteay Chas, Slor Kram, Siem Reap, Cambodia",8.6,Standard Twin Room - Free Airport Pickup,28 m²,"KHR 75,122"
2,The Siem Reap Chilled Backpacker,"Wat Bo Street, Banteay Chas, Slor Kram, Siem Reap, Cambodia",8.6,Deluxe King Room - Free Airport Pickup,28 m²,"KHR 77,308"
3,The Siem Reap Chilled Backpacker,"Wat Bo Street, Banteay Chas, Slor Kram, Siem Reap, Cambodia",8.6,Deluxe Twin Room - Free Airport Pickup,28 m²,"KHR 77,308"
4,The Siem Reap Chilled Backpacker,"Wat Bo Street, Banteay Chas, Slor Kram, Siem Reap, Cambodia",8.6,Single Bed in 12 Bed Mixed Dormitory Room,48 m²,"KHR 15,759"
