,Name,Adress,Rating,RoomType,RoomSize,Price
0,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Twin Room with Shared Bathroom,20 m²,"KHR 128,214"
1,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Twin Room with Private Bathroom,32 m²,"KHR 164,847"
2,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Twin Room with Private Bathroom,32 m²,"KHR 219,795"
3,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Double Room with Private Bathroom,32 m²,"KHR 164,847"
4,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Double Room with Private Bathroom,32 m²,"KHR 219,795"
5,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Bed in 4-Bed Mixed Dormitory Room,16 m²,"KHR 41,212"
6,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Bed in 4-Bed Mixed Dormitory Room,16 m²,"KHR 64,107"
7,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Single Bed in Female Dormitory Room,30 m²,"KHR 41,212"
8,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Single Bed in Female Dormitory Room,30 m²,"KHR 64,107"
9,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Bed in 8-Bed Mixed Dormitory Room,28 m²,"KHR 41,212"
10,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Bed in 8-Bed Mixed Dormitory Room,28 m²,"KHR 64,107"
11,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Single Bed in Mixed Dormitory Room,30 m²,"KHR 41,212"
12,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Single Bed in Mixed Dormitory Room,30 m²,"KHR 64,107"
13,The Twizt - Lifestyle Hostel,"16th Avenue, Mondul II, Svay Dangkum, Siem Reap, Cambodia, Siem Reap, Cambodia",8.6,Single Room with Shared Bathroom,30 m²,"KHR 128,214"
