,Name,Adress,Rating,RoomType,RoomSize,Price
0,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,King Room with Two King Beds,43 m²,"KHR 45,378"
1,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,King Room with Two King Beds,43 m²,"KHR 53,629"
2,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,King Room with Two King Beds,43 m²,"KHR 66,005"
3,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Standard Twin Room,22 m²,"KHR 53,629"
4,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Standard Twin Room,22 m²,"KHR 45,378"
5,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Twin Room with Terrace,25 m²,"KHR 53,629"
6,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Twin Room with Terrace,25 m²,"KHR 45,378"
7,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Superior King Room,20 m²,"KHR 57,754"
8,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Superior King Room,20 m²,"KHR 49,503"
9,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Superior Double Room,20 m²,"KHR 61,879"
10,Smart Angkor Boutique,"Steng Thmey Village Svay Dangkum Commune, Siem Reap, Cambodia",7.5,Superior Double Room,20 m²,"KHR 53,629"
