,Name,Adress,Rating,RoomType,RoomSize,Price
0,Apsara Centrepole Hotel,"# 522 Svay Dangkum, Old Market, Siem Reap, Cambodia",8.2,Apsara Studio Twin with Balcony- Free Pick Up,33 m²,"KHR 111,878"
1,Apsara Centrepole Hotel,"# 522 Svay Dangkum, Old Market, Siem Reap, Cambodia",8.2,Apsara Studio Twin with Balcony- Free Pick Up,33 m²,"KHR 206,265"
2,Apsara Centrepole Hotel,"# 522 Svay Dangkum, Old Market, Siem Reap, Cambodia",8.2,Deluxe Twin Room with Balcony - Free pick up,35 m²,"KHR 222,766"
3,Apsara Centrepole Hotel,"# 522 Svay Dangkum, Old Market, Siem Reap, Cambodia",8.2,Super Deluxe Double Room with Balcony- Free Pick Up,42 m²,"KHR 288,770"
