,Name,Adress,Rating,RoomType,RoomSize,Price
0,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Junior Garden Suite with Balcony with free one way pick+ Welcome cookie on arrival ,56 m²,"KHR 564,340"
1,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Junior Garden Suite with Balcony with free one way pick+ Welcome cookie on arrival ,56 m²,"KHR 594,042"
2,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Junior Garden Suite with Balcony with free one way pick+ Welcome cookie on arrival ,56 m²,"KHR 705,425"
3,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Junior Garden Suite with Balcony with free one way pick+ Welcome cookie on arrival ,56 m²,"KHR 742,552"
4,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Garden Suite with Balcony  ,61 m²,"KHR 564,340"
5,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Garden Suite with Balcony  ,61 m²,"KHR 594,042"
6,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Garden Suite with Balcony  ,61 m²,"KHR 705,425"
7,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Garden Suite with Balcony  ,61 m²,"KHR 742,552"
8,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Superior Pool Suite with Terrace  ,61 m²,"KHR 592,557"
9,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Superior Pool Suite with Terrace  ,61 m²,"KHR 623,744"
10,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Superior Pool Suite with Terrace  ,61 m²,"KHR 740,696"
11,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Superior Pool Suite with Terrace  ,61 m²,"KHR 779,680"
12,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Pool Suite with Terrace  ,70 m²,"KHR 677,208"
13,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Pool Suite with Terrace  ,70 m²,"KHR 712,850"
14,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Pool Suite with Terrace  ,70 m²,"KHR 846,510"
15,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Grand Pool Suite with Terrace  ,70 m²,"KHR 891,063"
16,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Royal Family Suite with Pool View ,120 m²,"KHR 1,834,104"
17,Memoire Palace Resort & Spa,"Psar Kraoum Road, Siem Reap, Cambodia",8.8,Royal Family Suite with Pool View ,120 m²,"KHR 1,930,636"
