,Name,Adress,Rating,RoomType,RoomSize,Price
0,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Superior Double Room,25 m²,"KHR 94,015"
1,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Superior Double Room,25 m²,"KHR 111,754"
2,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Twin Room,32 m²,"KHR 95,789"
3,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Twin Room,32 m²,"KHR 113,528"
4,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Double ,32 m²,"KHR 106,433"
5,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Double ,32 m²,"KHR 124,171"
6,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Suite,53 m²,"KHR 179,450"
7,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Suite,53 m²,"KHR 197,189"
8,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Family Room,42 m²,"KHR 179,450"
9,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Deluxe Family Room,42 m²,"KHR 197,189"
10,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Family Suite,85 m²,"KHR 274,538"
11,HAN & DANIEL VILLA BOUTIQUE,"Sala Kanseng, Khum Svay Dangkum, Siem Reap, Cambodia",9.0,Family Suite,85 m²,"KHR 292,277"
