,Name,Adress,Rating,RoomType,RoomSize,Price
0,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,Twin Room with Balcony,38 m²,"KHR 148,510"
1,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,Twin Room with Balcony,38 m²,"KHR 165,012"
2,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,King Room with Balcony,38 m²,"KHR 148,510"
3,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,King Room with Balcony,38 m²,"KHR 165,012"
4,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,Deluxe Double Room,32 m²,"KHR 152,636"
5,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,Deluxe Twin Room,32 m²,"KHR 152,636"
6,Angkor City View Hotel,"St. 53 (Funky Ln) Steung Thmei, Svay Dangkhum, Siem Reap, Cambodia",8.5,Deluxe Triple Room,34 m²,"KHR 185,638"
