,Name,Adress,Rating,RoomType,RoomSize,Price
0,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Bilik Standard Double dengan Perkhidmatan Menjemput Percuma,35 m²,"KHR 102,101"
1,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Bilik Standard Double dengan Perkhidmatan Menjemput Percuma,35 m²,"KHR 120,665"
2,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Standard Twin Room with Free Pick Up,35 m²,"KHR 102,101"
3,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Standard Twin Room with Free Pick Up,35 m²,"KHR 120,665"
4,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Superior Double Room with Free Pick Up,35 m²,"KHR 111,383"
5,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Superior Twin Room with Free Pick Up,35 m²,"KHR 111,383"
6,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Superior Twin Room with Free Pick Up,35 m²,"KHR 129,947"
7,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Family Room with Free Pick Up,50 m²,"KHR 204,202"
8,Central Night Hotel,"# 017, Steng Thmey Village, Svaydongkhum, Siem Reap, Kemboja",6.5,Family Room with Free Pick Up,50 m²,"KHR 222,766"
