Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
House,"$53,500","Trapeang Krasang, Por Sen Chey, Phnom Penh",2,2
House,"$48,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",2,2
House,"$93,000","Tuol Sangke, Russey Keo, Phnom Penh",4,4
House,"$52,000","Pong Tuek, Dangkao, Phnom Penh",2,2
House,"$95,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$55,000","Chaom Chau 2, Por Sen Chey, Phnom Penh",2,2
House,"$890,000","Chaom Chau 3, Por Sen Chey, Phnom Penh",5,5
House,"$185,000","Dangkao, Dangkao, Phnom Penh",3,3
House,"$79,000","Meanchey, Phnom Penh",2,2
House,"$97,000","Chaom Chau 1, Por Sen Chey, Phnom Penh",2,2
House,"$790,000","Phsar Thmei I, Daun Penh, Phnom Penh",²,²
House,"$79,000","Boeung Tumpun, Meanchey, Phnom Penh",2,2
House,"$65,000","Por Sen Chey, Phnom Penh",2,2
House,"$35,000","Samraong Kraom, Por Sen Chey, Phnom Penh",1,1
House,"$60,000","Chaom Chau 1, Por Sen Chey, Phnom Penh",2,2
House,"$330,000","Boeung Salang, Toul Kork, Phnom Penh",2,2
House,"$92,000","Russey Keo, Phnom Penh",2,2
House,"$175,000","Chaom Chau 3, Por Sen Chey, Phnom Penh",4,4
House,"$80,500","Kakab 2, Por Sen Chey, Phnom Penh",4,4
House,"$49,999","Spean Thma, Dangkao, Phnom Penh",2,2
House,"$88,000","Chaom Chau, Por Sen Chey, Phnom Penh",4,4
House,"$375,000","Chrang Chamres 2, Russey Keo, Phnom Penh",4,4
House,"$69,500","Russey Keo, Phnom Penh",4,4
House,"$89,000","Chrang Chamres 2, Russey Keo, Phnom Penh",2,2
House,"$650,000","Boeung Salang, Toul Kork, Phnom Penh",7,7
House,"$440,000","Boeung Kak 1, Toul Kork, Phnom Penh",6,6
House,"$160,000","Dangkao, Dangkao, Phnom Penh",5,5
House,"$55,000","Kouk Khleang, Sen Sok, Phnom Penh",3,3
House,"$73,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$183,880","Tuek L'ak 3, Toul Kork, Phnom Penh",4,4
House,"$120,000","Preaek Ta Sek, Chroy Changvar, Phnom Penh",3,3
House,"$105,000","Russey Keo, Russey Keo, Phnom Penh",2,2
Twin Villa,"$201,000","Preaek Lieb, Chroy Changvar, Phnom Penh",2,2
House,"$73,500","Preaek Kampues, Dangkao, Phnom Penh",4,4
House,"$55,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$74,000","Dangkao, Dangkao, Phnom Penh",2,2
House,"$60,000","Prey Sa, Dangkao, Phnom Penh",2,2
House,"$350,000","Boeng Reang, Daun Penh, Phnom Penh",2,2
House,"$780,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$65,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$36,000","Chaom Chau, Por Sen Chey, Phnom Penh",1,1
House,"$47,000","Krang Thnong, Sen Sok, Phnom Penh",2,2
House,"$99,000","Dangkao, Dangkao, Phnom Penh",2,2
House,"$74,000","Chaom Chau 3, Por Sen Chey, Phnom Penh",4,4
House,"$495,000","Chey Chumneah, Daun Penh, Phnom Penh",2,2
House,"$140,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$64,900","Dangkao, Phnom Penh",2,2
House,"$335,000","Tuek Thla, Sen Sok, Phnom Penh",6,6
House,"$269,000","Boeung Kak 2, Toul Kork, Phnom Penh",4,4
House,"$78,200","Kakap, Por Sen Chey, Phnom Penh",2,2
House,"$85,000","Stueng Mean chey 3, Meanchey, Phnom Penh",2,2
House,"$439,999","Samraong Kraom, Por Sen Chey, Phnom Penh",5,5
House,"$55,000","Preaek Pnov, Prek Pnov, Phnom Penh",1,1
House,"$48,000","Russey Keo, Russey Keo, Phnom Penh",2,2
House,"$140,000","Meanchey, Phnom Penh",2,2
House,"$96,000","Dangkao, Phnom Penh",2,2
House,"$120,000","Kamboul, Por Sen Chey, Phnom Penh",5,5
House,"$270,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",²,²
