Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
Twin Villa,"$255,000","Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$240,000"," Phsar Daeum Kor, Toul Kork, Phnom Penh",4,4
Shophouse,"$600,000"," Tuek L'ak 3, Toul Kork, Phnom Penh",5,5
Link House,"$199,500"," Preaek Ta Sek, Chroy Changvar, Phnom Penh",3,3
Shophouse,"$170,000"," Ou Ruessei 1, 7 Makara, Phnom Penh",1,1
Shophouse,"$1,300,000","Phsar Thmei III, Daun Penh, Phnom Penh",6,6
Shophouse,"$250,000","Phsar Thmei III, Daun Penh, Phnom Penh",1,1
Villa,"$2,500,000"," Tonle Bassac, Chamkarmon, Phnom Penh",6,6
Shophouse,"$800,000"," Boeung Kak 2, Toul Kork, Phnom Penh",1,1
Twin Villa,"$270,000","Tuek Thla, Sen Sok, Phnom Penh",4,4
Villa,"$750,000"," Tonle Bassac, Chamkarmon, Phnom Penh",9,9
House,"$270,000"," Boeung Tumpun, Meanchey, Phnom Penh",6,6
Shophouse,"$230,000","Win Win Blud , Bak Kaeng, Chroy Changvar, Phnom Penh",4,4
Villa,"$2,300,000"," Boeung Kak 1, Toul Kork, Phnom Penh",4,4
Shophouse,"$700,000"," Boeung Kak 2, Toul Kork, Phnom Penh",6,6
Link House,"$180,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$69,000","sa prey, Prey Sa, Dangkao, Phnom Penh",3,3
Twin Villa,"$589,000","Boeung Kak 1, Toul Kork, Phnom Penh",3,3
Twin Villa,"$2,200,000","BKK 2, Chamkarmon, Phnom Penh",3,3
Shophouse,"$450,000"," BKK 1, Chamkarmon, Phnom Penh",3,3
Shophouse,"$370,000"," BKK 3, Chamkarmon, Phnom Penh",3,3
Link House,"$230,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$350,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Shophouse,"$500,000"," Boeung Kak 1, Toul Kork, Phnom Penh",7,7
Villa,"$2,300,000"," Boeung Kak 1, Toul Kork, Phnom Penh",1,1
House,"$1,500,000","Chakto Mukh, Daun Penh, Phnom Penh",1,1
House,"$500,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",3,3
Shophouse,"$185,000","Samraong, Prek Pnov, Phnom Penh",3,3
House,"$62,500","Dangkao, Dangkao, Phnom Penh",2,2
Shophouse,"$1,300,000"," Toul Svay Prey 1, Chamkarmon, Phnom Penh",3,3
Villa,"$1,100,000"," Tonle Bassac, Chamkarmon, Phnom Penh",4,4
Villa,"$1,100,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
House,"$58,800","108Z បេតុង, Preaek Pra, Chbar Ampov, Phnom Penh",2,2
Villa,"$2,890,000","BKK 3, Chamkarmon, Phnom Penh",5,5
House,"$100,000"," Kouk Khleang, Sen Sok, Phnom Penh",2,2
House,"$42,900","Stueng Mean chey, Meanchey, Phnom Penh",2,2
Link House,"$188,000"," Veal Sbov, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$145,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Shophouse,"$570,000","Chey Chumneah, Daun Penh, Phnom Penh",2,2
House,"$115,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",2,2
Villa,"$470,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$188,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",3,3
Link House,"$155,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$280,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Link House,"$140,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",3,3
Shophouse,"$180,000"," Phsar Kandal I, Daun Penh, Phnom Penh",2,2
House,"$300,000"," Chaom Chau 2, Por Sen Chey, Phnom Penh",2,2
Link House,"$82,000"," Ponhea Pon, Prek Pnov, Phnom Penh",2,2
Twin Villa,"$280,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Twin Villa,"$280,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Link House,"$145,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",3,3
Villa,"$7,400/m²","71 , BKK 1, Chamkarmon, Phnom Penh",6,6
Shophouse,"$620,000","Chey Chumneah, Daun Penh, Phnom Penh",6,6
Link House,"$125,000"," Bak Kaeng, Chroy Changvar, Phnom Penh",3,3
House,"$570,000","Toul Tum Poung 2, Chamkarmon, Phnom Penh",3,3
Link House,"$125,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Link House,"$120,000"," Chrang Chamres I, Russey Keo, Phnom Penh",3,3
Link House,"$180,000"," Chrang Chamres I, Russey Keo, Phnom Penh",2,2
Link House,"$133,000"," Chrang Chamres I, Russey Keo, Phnom Penh",2,2
Link House,"$110,000"," Chrang Chamres I, Russey Keo, Phnom Penh",2,2
Shophouse,"$410,000"," Kouk Roka, Prek Pnov, Phnom Penh",8,8
Shophouse,"$1,950,000"," Olympic, Chamkarmon, Phnom Penh",5,5
Shophouse,"$240,000"," Krang Thnong, Sen Sok, Phnom Penh",5,5
House,"$1,100,000"," Tuek Thla, Sen Sok, Phnom Penh",4,4
House,"$250,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",3,3
Villa,"$4,200,000"," Boeng Reang, Daun Penh, Phnom Penh",4,4
Villa,"$2,500,000"," Boeung Prolit, 7 Makara, Phnom Penh",9,9
Shophouse,"$275,000","Chroy Changvar, Chroy Changvar, Phnom Penh",3,3
House,"$1,215,000"," Oknha Nou Kan 105, Boeung Trabek, Chamkarmon, Phnom Penh",3,3
Villa,"$115,000","Chroy Changvar, Chroy Changvar, Phnom Penh",2,2
Villa,"$1,100,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
House,"$62,800","Chaom Chau 2, Por Sen Chey, Phnom Penh",3,3
Villa,"$310,000","Chbar Ampov II, Chbar Ampov, Phnom Penh",4,4
Villa,"$980,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",6,6
Villa,"$1,250,000","Krang Thnong, Sen Sok, Phnom Penh",7,7
Villa,"$1,300,000","Phsar Daeum Kor, Toul Kork, Phnom Penh",²,²
Villa,"$1,100,000","Chbar Ampov II, Chbar Ampov, Phnom Penh",²,²
House,"$300,000","104 D 800, Dangkao, Dangkao, Phnom Penh",5,5
Villa,"$400,000"," Preaek Pra, Chbar Ampov, Phnom Penh",3,3
Villa,"$785,000"," Cheung Aek, Dangkao, Phnom Penh",5,5
Villa,"$675,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Villa,"$2,220,000"," Veal Sbov, Chbar Ampov, Phnom Penh",5,5
Villa,"$1,350,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$500,000","337 , Boeung Kak 1, Toul Kork, Phnom Penh",4,4
House,"$750,000"," BKK 1, Chamkarmon, Phnom Penh",4,4
Shophouse,"$985,045","Srah Chak, Daun Penh, Phnom Penh",6,6
Shophouse,"$1,738,950","Srah Chak, Daun Penh, Phnom Penh",6,6
Shophouse,"$2,390,758","Srah Chak, Daun Penh, Phnom Penh",6,6
Shophouse,"$3,688,756","Srah Chak, Daun Penh, Phnom Penh",6,6
Shophouse,"$190,000"," Svay Pak, Russey Keo, Phnom Penh",6,6
Villa,"$900,000"," 21B, Preaek Thmei, Chbar Ampov, Phnom Penh",6,6
Shophouse,"$202,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$1,318,800","Boeung Kak 1, Toul Kork, Phnom Penh",0,0
House,"$84,000","Chroy Changvar, Chroy Changvar, Phnom Penh",2,2
Villa,"$300,000","Dangkao, Dangkao, Phnom Penh",4,4
House,"$25,000","Mittapheap, 7 Makara, Phnom Penh",2,2
Shophouse,"$185,000","Kakap, Por Sen Chey, Phnom Penh",3,3
Villa,"$300,000","104, Dangkao, Dangkao, Phnom Penh",5,5
House,"$570,000","Tuol Sangkae 1, Russey Keo, Phnom Penh",5,5
House,"$250,000","Prey Sa, Dangkao, Phnom Penh",4,4
House,"$35,000","Preaek Pnov, Prek Pnov, Phnom Penh",2,2
Villa,"$880,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Twin Villa,"$250,000","Prey Sa, Dangkao, Phnom Penh",5,5
Villa,"$63,000","Khmuonh, Sen Sok, Phnom Penh",S,S
House,"$950,000","602 , Boeung Kak 2, Toul Kork, Phnom Penh",5,5
House,"$950,000","602, Boeung Kak 2, Toul Kork, Phnom Penh",5,5
Shophouse,"$168,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",5,5
House,"$47,000"," Kamboul, Por Sen Chey, Phnom Penh",2,2
House,"$75,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",3,3
House,"$399,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",8,8
House,"$155,000","Chbar Ampov II, Chbar Ampov, Phnom Penh",4,4
House,"$248,000","Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
House,"$328,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$129,500","Stueng Mean chey, Meanchey, Phnom Penh",3,3
House,"$119,000","Dangkao, Dangkao, Phnom Penh",4,4
House,"$40,000","Phsar Chas, Daun Penh, Phnom Penh",1,1
Villa,"$32,000","Boeng Reang, Daun Penh, Phnom Penh",1,1
House,"$25,000","Mittapheap, 7 Makara, Phnom Penh",1,1
Villa,"$460,000","Tuek Thla, Sen Sok, Phnom Penh",E,E
House,"$85,000","Phsar Chas, Daun Penh, Phnom Penh",3,3
House,"$58,000","Mittapheap, 7 Makara, Phnom Penh",3,3
Villa,"$200,000","Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$330,000","Chrang Chamres 2, Russey Keo, Phnom Penh",4,4
Shophouse,"$550,000","លល 102, Kakab 1, Por Sen Chey, Phnom Penh",E,E
Villa,"$5,500,000"," Nirouth, Chbar Ampov, Phnom Penh",9,9
Villa,"$1,100,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Shophouse,"$1,770,000"," Boeung Tumpun, Meanchey, Phnom Penh",0,0
House,"$2,100,000"," Boeng Reang, Daun Penh, Phnom Penh",9,9
Shophouse,"$400,000"," Phsar Kandal II, Daun Penh, Phnom Penh",3,3
House,"$1,500,000"," Phsar Thmei II, Daun Penh, Phnom Penh",6,6
House,"$250,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$458,000","Khmuonh, Sen Sok, Phnom Penh",4,4
Villa,"$840,000","Boeung Kak 1, Toul Kork, Phnom Penh",6,6
Shophouse,"$750,000"," Boeung Tumpun, Meanchey, Phnom Penh",6,6
Link House,"$150,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",4,4
Villa,"$410,000","Stueng Mean chey, Meanchey, Phnom Penh",4,4
House,"$78,500","Boeung Kak 1, Toul Kork, Phnom Penh",3,3
House,"$32,000","Mittapheap, 7 Makara, Phnom Penh",2,2
Shophouse,"$770,000"," Phsar Thmei I, Daun Penh, Phnom Penh",7,7
Villa,"$2,500,000"," Srah Chak, Daun Penh, Phnom Penh",6,6
House,"$98,000","Chey Chumneah, Daun Penh, Phnom Penh",6,6
House,"$78,000","Mittapheap, 7 Makara, Phnom Penh",2,2
House,"$128,000","Chbar Ampov I, Chbar Ampov, Phnom Penh",4,4
House,"$80,000","Chbar Ampov II, Chbar Ampov, Phnom Penh",2,2
Shophouse,"$420,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$220,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$100,000"," Dangkao, Dangkao, Phnom Penh",2,2
Shophouse,"$460,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$385,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$340,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$230,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$360,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$270,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",²,²
Shophouse,"$670,000"," BKK 3, Chamkarmon, Phnom Penh",4,4
House,"$395,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",2,2
House,"$960,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",²,²
Shophouse,"$9,207,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Link House,"$100,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",4,4
Villa,"$550,000"," Boeung Kak 2, Toul Kork, Phnom Penh",5,5
Villa,"$160,000"," Krang Thnong, Sen Sok, Phnom Penh",4,4
Shophouse,"$155,000","2 25m, Chaom Chau 1, Por Sen Chey, Phnom Penh",5,5
House,"$40,000","Mittapheap, 7 Makara, Phnom Penh",2,2
Link House,"$240,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Shophouse,"$285,000"," Kakab 1, Por Sen Chey, Phnom Penh",²,²
Villa,"$198,000","Meanchey, Phnom Penh",4,4
House,"$55,000"," Phsar Kandal II, Daun Penh, Phnom Penh",1,1
House,"$80,000"," Tuol Sangke, Russey Keo, Phnom Penh",4,4
Villa,"$1,490,600"," Boeung Kak 2, Toul Kork, Phnom Penh",4,4
House,"$82,000","Mittapheap, 7 Makara, Phnom Penh",2,2
Shophouse,"$185,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
House,"$75,000","Por Sen Chey, Phnom Penh",3,3
Villa,"$95,000","25m, Chaom Chau 1, Por Sen Chey, Phnom Penh",5,5
House,"$61,000","Dangkao, Dangkao, Phnom Penh",2,2
Villa,"$1,000,000"," Nirouth, Chbar Ampov, Phnom Penh",5,5
Link House,"$165,000"," Chrang Chamres I, Russey Keo, Phnom Penh",²,²
House,"$3,060,000"," BKK 1, Chamkarmon, Phnom Penh",²,²
Villa,"$10,000,000"," BKK 1, Chamkarmon, Phnom Penh",²,²
Shophouse,"$550,000"," BKK 3, Chamkarmon, Phnom Penh",3,3
Shophouse,"$1,480,000"," Nirouth, Chbar Ampov, Phnom Penh",3,3
Shophouse,"$270,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",6,6
Shophouse,"$540,000"," Phsar Kandal I, Daun Penh, Phnom Penh",8,8
Shophouse,"$720,000"," Phsar Chas, Daun Penh, Phnom Penh",8,8
Shophouse,"$2,500,000"," BKK 1, Chamkarmon, Phnom Penh",²,²
House,"$53,000","Kamboul, Por Sen Chey, Phnom Penh",2,2
Villa,"$630,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
House,"$149,500"," Chroy Changvar, Chroy Changvar, Phnom Penh",3,3
Villa,"$978,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$229,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",5,5
House,"$94,000"," Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",8,8
Twin Villa,"$189,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
House,"$94,000","Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",2,2
Twin Villa,"$238,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",5,5
House,"$65,000","Kamboul, Por Sen Chey, Phnom Penh",2,2
Shophouse,"$12,000"," Chak Angrae Leu, Meanchey, Phnom Penh",²,²
House,"$30,500","Phsar Depou I, Toul Kork, Phnom Penh",1,1
Shophouse,"$265,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$190,000","Preaek Pnov, Prek Pnov, Phnom Penh",5,5
House,"$75,000","Ponsang, Prek Pnov, Phnom Penh",2,2
House,"$350,000","Kakap, Por Sen Chey, Phnom Penh",5,5
Villa,"$1,100,000","Samraong Kraom, Por Sen Chey, Phnom Penh",5,5
House,"$148,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$450,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Link House,"$165,000","Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
House,"$190,000","Chaom Chau 1, Por Sen Chey, Phnom Penh",4,4
House,"$6,500,000","Dangkao, Phnom Penh",3,3
House,"$145,000","Ovlaok, Por Sen Chey, Phnom Penh",4,4
House,"$215,000","Toul Tum Poung 1, Chamkarmon, Phnom Penh",3,3
House,"$260,000"," Preaek Kampues, Dangkao, Phnom Penh",4,4
Shophouse,"$190,000"," Preaek Pnov, Prek Pnov, Phnom Penh",4,4
Villa,"$72,500"," Chroy Changvar, Chroy Changvar, Phnom Penh",2,2
Villa,"$1,700,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",8,8
Villa,"$195,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$36,000"," Chakto Mukh, Daun Penh, Phnom Penh",1,1
Villa,"$258,000"," Prey Sa, Dangkao, Phnom Penh",4,4
Villa,"$259,000"," Tuek L'ak 1, Toul Kork, Phnom Penh",3,3
Villa,"$395,000"," Tuek L'ak 1, Toul Kork, Phnom Penh",3,3
Shophouse,"$540,000"," Phsar Kandal I, Daun Penh, Phnom Penh",8,8
Shophouse,"$160,000"," Nirouth, Chbar Ampov, Phnom Penh",8,8
House,"$59,999","Por Sen Chey, Phnom Penh",1,1
House,"$45,000","Chbar Ampov I, Chbar Ampov, Phnom Penh",2,2
Villa,"$1,660,000"," Tuol Sangke, Russey Keo, Phnom Penh",6,6
Villa,"$152,000","មហាវិថីឈ្នះ , Samraong Kraom, Por Sen Chey, Phnom Penh",4,4
House,"$319,000","Tuek Thla, Sen Sok, Phnom Penh",4,4
Villa,"$64,000"," Krang Pongro, Dangkao, Phnom Penh",4,4
Villa,"$167,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$97,000"," Krang Pongro, Dangkao, Phnom Penh",4,4
House,"$110,000","Dangkao, Dangkao, Phnom Penh",3,3
Shophouse,"$140,000","23 1A, Spean Thma, Dangkao, Phnom Penh",5,5
Shophouse,"$140,000","1A 23, Spean Thma, Dangkao, Phnom Penh",5,5
Link House,"$149,000"," Bak Kaeng, Chroy Changvar, Phnom Penh",3,3
Villa,"$768,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",8,8
House,"$155,000","Kakab 1, Por Sen Chey, Phnom Penh",2,2
House,"$90,000","Krang Thnong, Sen Sok, Phnom Penh",2,2
House,"$280,000","Khmuonh, Sen Sok, Phnom Penh",5,5
House,"$93,555","Dangkao, Dangkao, Phnom Penh",2,2
House,"$148,000"," Nirouth, Chbar Ampov, Phnom Penh",2,2
House,"$95,000"," Kouk Roka, Prek Pnov, Phnom Penh",4,4
Villa,"$550,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",5,5
House,"$135,000","Boeung Tumpun 1, Meanchey, Phnom Penh",5,5
Villa,"$99,000","Snaor, Por Sen Chey, Phnom Penh",3,3
Shophouse,"$313,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$152,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$147,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Shophouse,"$125,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$193,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$159,500"," Nirouth, Chbar Ampov, Phnom Penh",4,4
Villa,"$118,000"," Nirouth, Chbar Ampov, Phnom Penh",3,3
Villa,"$108,000"," Nirouth, Chbar Ampov, Phnom Penh",3,3
Villa,"$97,000"," Nirouth, Chbar Ampov, Phnom Penh",2,2
Villa,"$170,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Villa,"$99,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Villa,"$85,000"," Nirouth, Chbar Ampov, Phnom Penh",3,3
Villa,"$570,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
Villa,"$179,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
House,"$565,000"," Tuol Sangkae 1, Russey Keo, Phnom Penh",1,1
House,"$48,500","Dangkao, Phnom Penh",2,2
House,"$123,500"," Tuol Sangkae 2, Russey Keo, Phnom Penh",4,4
House,"$148,500","Kakap, Por Sen Chey, Phnom Penh",6,6
Villa,"$410,000","271 271, Boeung Trabek, Chamkarmon, Phnom Penh",7,7
House,"$73,000","Kamboul, Por Sen Chey, Phnom Penh",2,2
House,"$125,000","Olympic, Chamkarmon, Phnom Penh",4,4
House,"$600,000","Tonle Bassac, Chamkarmon, Phnom Penh",4,4
Villa,"$175,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
House,"$180,000","Chbar Ampov I, Chbar Ampov, Phnom Penh",3,3
House,"$75,000","Sen Sok, Phnom Penh",2,2
House,"$115,000","Meanchey, Phnom Penh",4,4
House,"$149,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",2,2
Shophouse,"$209,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
House,"$55,000"," Preaek Lieb, Chroy Changvar, Phnom Penh",3,3
Shophouse,"$230,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$530,000"," Chrang Chamres I, Russey Keo, Phnom Penh",5,5
Villa,"$545,000"," Chrang Chamres 2, Russey Keo, Phnom Penh",6,6
House,"$118,333","Kakab 1, Por Sen Chey, Phnom Penh",3,3
Villa,"$1,095,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",6,6
Villa,"$2,700,000"," Cheung Aek, Dangkao, Phnom Penh",6,6
House,"$215,000","Bak Kaeng, Chroy Changvar, Phnom Penh",4,4
House,"$260,000","Boeung Salang, Toul Kork, Phnom Penh",3,3
House,"$299,999","Boeung Tumpun 2, Meanchey, Phnom Penh",²,²
Villa,"$195,000"," Stueng Mean chey, Meanchey, Phnom Penh",4,4
Twin Villa,"$270,000"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Villa,"$125,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Twin Villa,"$268,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$219,900"," Dangkao, Dangkao, Phnom Penh",4,4
House,"$230,000"," Stueng Mean chey, Meanchey, Phnom Penh",3,3
Villa,"$835,000"," Dangkao, Dangkao, Phnom Penh",5,5
House,"$249,000","Wat Phnom, Daun Penh, Phnom Penh",3,3
Villa,"$990,000","Twin road 20m 348, Chrang Chamres I, Russey Keo, Phnom Penh",8,8
Villa,"$580,000","Tiger Street 114, Preaek Aeng, Chbar Ampov, Phnom Penh",8,8
House,"$58,000","Kakap, Por Sen Chey, Phnom Penh",2,2
House,"$230,000","Tuol Sangkae 1, Russey Keo, Phnom Penh",6,6
House,"$1,100,000","371 371, Boeung Tumpun, Meanchey, Phnom Penh",8,8
Villa,"$5,500,000"," Nirouth, Chbar Ampov, Phnom Penh",9,9
Shophouse,"$350,000","Market Chhuk Meas, St. B 26, Kakab 1, Por Sen Chey, Phnom Penh",5,5
House,"$1,500,000","BKK 1, Chamkarmon, Phnom Penh",7,7
House,"$190,000","Olympic, Chamkarmon, Phnom Penh",2,2
Villa,"$1,500,000","113, Boeung Prolit, 7 Makara, Phnom Penh",1,1
House,"$65,000"," Cheung Aek, Dangkao, Phnom Penh",1,1
Link House,"$127,000"," Svay Pak, Russey Keo, Phnom Penh",2,2
Project,," Chak Angrae Kraom, Meanchey, Phnom Penh",8,8
House,"$119,900"," Trapeang Krasang, Por Sen Chey, Phnom Penh",4,4
Villa,"$549,900"," Dangkao, Dangkao, Phnom Penh",5,5
Villa,"$95,000"," Krang Thnong, Sen Sok, Phnom Penh",3,3
House,"$425,000","Tonle Bassac, Chamkarmon, Phnom Penh",4,4
Link House,"$89,000"," Chaom Chau 1, Por Sen Chey, Phnom Penh",4,4
Villa,"$180,000"," Kamboul, Por Sen Chey, Phnom Penh",4,4
Twin Villa,"$734,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",8,8
Twin Villa,"$475,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$245,000"," Tuol Sangkae 2, Russey Keo, Phnom Penh",4,4
Villa,"$185,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
Villa,"$1,300,000"," Tuol Sangkae 2, Russey Keo, Phnom Penh",7,7
Villa,"$229,900"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Twin Villa,"$325,000"," Dangkao, Dangkao, Phnom Penh",4,4
House,"$360,000"," Stueng Mean chey, Meanchey, Phnom Penh",3,3
House,"$62,800"," Chaom Chau 2, Por Sen Chey, Phnom Penh",2,2
Villa,"$2,040,000","Boeung Kak 2, Toul Kork, Phnom Penh",5,5
Twin Villa,"$480,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
Twin Villa,"$265,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$420,000","Prey Sa, Dangkao, Phnom Penh",7,7
Twin Villa,"$540,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
Twin Villa,"$450,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
Twin Villa,"$545,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
Twin Villa,"$425,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
Villa,"$1,800,000"," Chak Angrae Kraom, Meanchey, Phnom Penh",6,6
Twin Villa,"$455,000","Chak Angrae Kraom, Meanchey, Phnom Penh",4,4
House,"$180,000","21 បេតុង, Boeung Tumpun, Meanchey, Phnom Penh",7,7
Twin Villa,"$350,000"," Dangkao, Dangkao, Phnom Penh",4,4
Villa,"$319,900"," Khmuonh, Sen Sok, Phnom Penh",6,6
Shophouse,"$99,900"," Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$180,000"," Preaek Pnov, Prek Pnov, Phnom Penh",4,4
Villa,"$2,200,000","Boeung Kak 2, Toul Kork, Phnom Penh",4,4
Shophouse,"$4,500,000"," Chakto Mukh, Daun Penh, Phnom Penh",8,8
Twin Villa,"$300,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
House,"$349,500"," Khmuonh, Sen Sok, Phnom Penh",0,0
House,"$599,900"," Boeung Tumpun, Meanchey, Phnom Penh",4,4
Twin Villa,"$305,000"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$239,900"," Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$350,000","104 D, Dangkao, Dangkao, Phnom Penh",4,4
House,"$220,000","105 105, Krang Thnong, Sen Sok, Phnom Penh",²,²
Villa,"$2,250,000","Veal Sbov, Chbar Ampov, Phnom Penh",5,5
House,"$270,000","Boeung Trabek, Chamkarmon, Phnom Penh",4,4
Shophouse,"$220,000"," P08, Preaek Lieb, Chroy Changvar, Phnom Penh",4,4
Link HousePOA,POA,"Chrang Chamres 2, Russey Keo, Phnom Penh",4,4
House,"$1,400,000","Phsar Daeum Thkov, Chamkarmon, Phnom Penh",9,9
House,"$180,000"," Ou Baek K'am, Sen Sok, Phnom Penh",8,8
House,"$310,000"," Dangkao, Dangkao, Phnom Penh",3,3
Villa,"$1,100,000","Norodom Blvd 41 Preah, Tonle Bassac, Chamkarmon, Phnom Penh",5,5
Villa,"$1,700,000","PreahNorodom BLVD 41, Tonle Bassac, Chamkarmon, Phnom Penh",5,5
House,"$390,000","Chakto Mukh, Daun Penh, Phnom Penh",3,3
House,"$400,000","Boeung Trabek, Chamkarmon, Phnom Penh",7,7
House,"$400,000","Boeung Trabek, Chamkarmon, Phnom Penh",7,7
House,"$320,000","Stueng Mean chey, Meanchey, Phnom Penh",8,8
House,"$299,900"," Kakap, Por Sen Chey, Phnom Penh",4,4
