Source.Name,Model,Price
iphoneModelPrice3.csv,$529,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$1,099
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$989,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$779,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 mini,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$799,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$699,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Mini,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$599,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone SE 2020,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$499,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone XS Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone XS,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone XR,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 7 Plus PRODUCT â€“ RED,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone X,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 8 Plus (PRODUCT) RED,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 8 Plus,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 8 (PRODUCT) RED,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 8,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$720,
iphoneModelPrice3.csv,,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 14 Pro,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $1,159.00
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 14 Pro Max,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $1,289.00
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 14 Plus,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $989.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 14,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $879.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 13 Pro,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $979.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 13,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $799.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 12,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $669.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice4.csv,,
iphoneModelPrice4.csv,                iPhone 11,
iphoneModelPrice4.csv,"            """,
iphoneModelPrice4.csv,                    $499.00,
iphoneModelPrice4.csv,"                """,
iphoneModelPrice5.csv,iPhone 14 Pro Max ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ† (In-Stock),"$1,199"
iphoneModelPrice5.csv,iPhone 14 Pro Max ZA/A,"$1,178"
iphoneModelPrice5.csv,iPhone 14 Pro Max LL/A,"$1,075"
iphoneModelPrice5.csv,iPhone 14 Pro ZA/A (In-Stock),"$1,085"
iphoneModelPrice5.csv,iPhone 14 Pro ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ† (In-Stock),"$1,109"
iphoneModelPrice5.csv,Apple iPhone 14 Pro Max Leather Case with MagSafe,$79
iphoneModelPrice5.csv,Apple iPhone 14 Pro Max Silicone Case with MagSafe,$69
iphoneModelPrice5.csv,Apple iPhone 14 Pro Max Clear Case with MagSafe,$59
iphoneModelPrice5.csv,Apple iPhone 14 Pro Leather Case with MagSafe,$79
