Unnamed: 0,Hotel,Price,Location,Url
10,The Urban,"183,833",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/the-urban.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=33197308_261909258_0_42_0&highlighted_blocks=33197308_261909258_0_42_0&matching_block_id=33197308_261909258_0_42_0&sr_pri_blocks=33197308_261909258_0_42_0__4536&tpi_r=2&from_sustainable_property_sr=1
11,Smart Angkor Boutique,"51,065",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/smart-angkor-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=665505403_272805537_2_2_0&highlighted_blocks=665505403_272805537_2_2_0&matching_block_id=665505403_272805537_2_2_0&sr_pri_blocks=665505403_272805537_2_2_0__1260&tpi_r=2
12,Angkor Paradise Hotel,"255,324","National Road 6, Siem Reap | 0.7 km from centre",https://www.booking.com/hotel/kh/angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=3680113_369203383_2_1_0&highlighted_blocks=3680113_369203383_2_1_0&matching_block_id=3680113_369203383_2_1_0&sr_pri_blocks=3680113_369203383_2_1_0__6300&tpi_r=2&from_sustainable_property_sr=1
13,Chamraoen’s Home,"64,844",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/chamraoens-home.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=260091903_114878507_2_0_0&highlighted_blocks=260091903_114878507_2_0_0&matching_block_id=260091903_114878507_2_0_0&sr_pri_blocks=260091903_114878507_2_0_0__1600&tpi_r=2
14,Sihariddh Angkor Villa,"32,422",Siem Reap | 2.3 km from centre,https://www.booking.com/hotel/kh/sihariddh-angkor-villa-siem-reap-homestay.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=366632801_121635899_2_34_0&highlighted_blocks=366632801_121635899_2_34_0&matching_block_id=366632801_121635899_2_34_0&sr_pri_blocks=366632801_121635899_2_34_0__800&tpi_r=2
15,The Siem Reap Chilled Backpacker,"32,827","Wat Bo Area, Siem Reap | 0.6 km from centre",https://www.booking.com/hotel/kh/motherhome-guesthouse.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=26764016_265067731_0_42_0&highlighted_blocks=26764016_265067731_0_42_0&matching_block_id=26764016_265067731_0_42_0&sr_pri_blocks=26764016_265067731_0_42_0__810&tpi_r=2&from_sustainable_property_sr=1
16,Relax Resort Angkor Villa,"35,056",Siem Reap | 2.6 km from centre,https://www.booking.com/hotel/kh/relax-resort-angkor-villa-krong-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=422592401_0_2_1_0&highlighted_blocks=422592401_0_2_1_0&matching_block_id=422592401_0_2_1_0&sr_pri_blocks=422592401_0_2_1_0__865&tpi_r=1
17,Sokha Angkor Resort,"391,659","Charles de Gaulle, Siem Reap | 450 m from centre",https://www.booking.com/hotel/kh/sokha-angkor-resort.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=23680701_0_2_1_0&highlighted_blocks=23680701_0_2_1_0&matching_block_id=23680701_0_2_1_0&sr_pri_blocks=23680701_0_2_1_0__9664&tpi_r=1&from_sustainable_property_sr=1
18,The Funky Village,"51,511",Siem Reap | 0.7 km from centre,https://www.booking.com/hotel/kh/funky-flashpacker.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=129867520_355396706_2_2_0&highlighted_blocks=129867520_355396706_2_2_0&matching_block_id=129867520_355396706_2_2_0&sr_pri_blocks=129867520_355396706_2_2_0__1271&tpi_r=2&from_sustainable_property_sr=1
19,Damrei Residence & Spa,"173,620","Wat Bo Area, Siem Reap | 0.6 km from centre",https://www.booking.com/hotel/kh/damrei-residence-amp-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=6f3276dd2bc20542&srepoch=1680022461&all_sr_blocks=200703801_247804357_2_42_0&highlighted_blocks=200703801_247804357_2_42_0&matching_block_id=200703801_247804357_2_42_0&sr_pri_blocks=200703801_247804357_2_42_0__4284&tpi_r=2
