,mark,model,year,type,condition,fuel,Transmission,color,price
37,Car Makes:Ford,Car Model:Territory,Year:2021,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$36,500"
38,Car Makes:Toyota,Car Model:Camry,Year:2003,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Manual,Color:Silver,"$10,500"
39,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$12,700"
40,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$17,000"
41,Car Makes:Kia,Car Model:Ray,Year:2012,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Petrol,Transmission:Auto,"$9,250"
42,Car Makes:Toyota,Car Model:Tacoma,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$9,850"
43,Car Makes:Toyota,Car Model:RAV4,Year:2000,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$6,800"
44,Car Makes:Toyota,Car Model:Prius,Year:2007,Tax Type:Tax Paper,Condition:Used,Body Type:Hatchback,Fuel:Hybrid,Transmission:Auto,"$12,800"
45,Car Makes:Lexus,Car Model:NX,Year:2016,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Color:White,"$53,000"
46,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Hybrid,Transmission:Auto,"$21,800"
47,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$19,500"
48,Car Makes:BMW,Car Model:5 Series,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$36,500"
49,Car Makes:Toyota,Car Model:Vitz,Year:2008,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$8,400"
50,Car Makes:Mitsubishi,Car Model:Triton,Year:2019,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$23,000"
51,Car Makes:Toyota,Car Model:Vellfire,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$28,500"
52,Car Makes:Toyota,Car Model:Vitz,Year:2008,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$8,500"
53,Car Makes:Lexus,Car Model:RX400h,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Hybrid,Transmission:Auto,"$23,500"
54,Car Makes:Toyota,Car Model:Prius,Year:2006,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Hybrid,Transmission:Auto,"$12,700"
55,Car Makes:Toyota,Car Model:Alphard,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$30,800"
56,Car Makes:Toyota,Car Model:Vitz,Year:2011,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$10,500"
57,Car Makes:Ford,Car Model:Ranger Wildtrak,Year:2021,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$41,900"
58,Car Makes:Lexus,Car Model:RX330,Year:2004,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$28,800"
59,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Gold,"$15,500"
60,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:Used,Body Type:Hatchback,Fuel:Hybrid,Transmission:Auto,"$18,900"
61,Car Makes:Toyota,Car Model:Highlander,Year:2001,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Gold,"$12,800"
62,Car Makes:Mercedes-Benz,Car Model:S350,Year:1995,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Diesel,Transmission:Auto,"$5,800"
63,Car Makes:Land Rover,Car Model:Range Rover Vogue,Year:2015,Tax Type:Tax Paper,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$79,000"
