Price,Price per m2,Location,Type,Title,Property ID,Original ID,Listed,Updated
"109,999",,"Chaom Chau 1, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223693,2 months ago,2 months ago
"55,000",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223692,2 months ago,2 months ago
"80,000",,"Spean Thma, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223650,2 months ago,2 months ago
"175,000",,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223647,2 months ago,2 months ago
"198,000",,"Chaom Chau 1, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223635,2 months ago,2 months ago
"80,000",,"Stueng Mean chey, Meanchey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223579,3 months ago,3 months ago
"120,000",,"Stueng Mean chey, Meanchey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223574,3 months ago,3 months ago
377,None,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223567,3 months ago,3 months ago
"82,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223535,3 months ago,3 months ago
"34,000",,"Dangkao, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223534,3 months ago,3 months ago
"28,000",,"Samraong Kraom, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223533,3 months ago,3 months ago
"48,000",,"Spean Thma, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223296,3 months ago,3 months ago
260,None,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223293,3 months ago,3 months ago
"120,000",,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223286,3 months ago,3 months ago
"59,900",,"Bak Kaeng, Chroy Changvar, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223283,3 months ago,3 months ago
"20,000",,"Preaek Kampues, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223210,3 months ago,3 months ago
500,None,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223208,3 months ago,3 months ago
"44,000",,"Chaom Chau 2, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223204,3 months ago,3 months ago
"30,000",300,"Sak Sampov, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223201,3 months ago,3 months ago
"70,000",,"Veal Sbov, Chbar Ampov, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223141,3 months ago,3 months ago
"250,000",,"Bak Kaeng, Chroy Changvar, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223138,3 months ago,3 months ago
"290,000",,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223135,3 months ago,3 months ago
"550,000",,"Kouk Khleang, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223125,3 months ago,3 months ago
"17,000",,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223122,3 months ago,3 months ago
"99,000",,"Kantaok, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",223070,3 months ago,3 months ago
