,Hotel,Price,Location,Url
0,Regency Angkor Hotel,"218,849","Charles de Gaulle, Siem Reap | 1.6 km from centre",https://www.booking.com/hotel/kh/regency-angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=301&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=77605203_277898508_0_41_0&highlighted_blocks=77605203_277898508_0_41_0&matching_block_id=77605203_277898508_0_41_0&sr_pri_blocks=77605203_277898508_0_41_0__5400
1,Sakmut Hotel & Spa,"283,693","National Road 6, Siem Reap | 2 km from centre",https://www.booking.com/hotel/kh/sakmut-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=302&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=195748302_335345623_0_41_0&highlighted_blocks=195748302_335345623_0_41_0&matching_block_id=195748302_335345623_0_41_0&sr_pri_blocks=195748302_335345623_0_41_0__7000&from_sustainable_property_sr=1
2,The Night Hotel,"229,792",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/the-night.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=303&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=193884110_368827796_2_42_0&highlighted_blocks=193884110_368827796_2_42_0&matching_block_id=193884110_368827796_2_42_0&sr_pri_blocks=193884110_368827796_2_42_0__5670
3,Le Jardin d'Angkor Hotel & Resort,"200,612",Siem Reap | 2.6 km from centre,https://www.booking.com/hotel/kh/le-jardin-d-angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=304&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=161948610_170478572_0_42_0&highlighted_blocks=161948610_170478572_0_42_0&matching_block_id=161948610_170478572_0_42_0&sr_pri_blocks=161948610_170478572_0_42_0__4950
4,Koemle's Homestay,"127,662",Siem Reap | 7.1 km from centre,https://www.booking.com/hotel/kh/the-home.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=305&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=836221201_349126461_2_0_0&highlighted_blocks=836221201_349126461_2_0_0&matching_block_id=836221201_349126461_2_0_0&sr_pri_blocks=836221201_349126461_2_0_0__3150&from_sustainable_property_sr=1
5,Eco-Home,"69,302",Siem Reap | 1.9 km from centre,https://www.booking.com/hotel/kh/hostel-salakamreuk.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=306&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=155431506_232288340_2_42_0&highlighted_blocks=155431506_232288340_2_42_0&matching_block_id=155431506_232288340_2_42_0&sr_pri_blocks=155431506_232288340_2_42_0__1710&from_sustainable_property_sr=1
6,Model Angkor Resort,"361,101",Siem Reap | 1.4 km from centre,https://www.booking.com/hotel/kh/model-angkor-resort-amp-residence-by-aic.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=307&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=111658417_265527593_2_2_0&highlighted_blocks=111658417_265527593_2_2_0&matching_block_id=111658417_265527593_2_2_0&sr_pri_blocks=111658417_265527593_2_2_0__8910
7,The Local Time Village,"200,612","Taphul Village Area, Siem Reap | 0.7 km from centre",https://www.booking.com/hotel/kh/the-local-time-village.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=308&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=287869402_261901691_2_0_0&highlighted_blocks=287869402_261901691_2_0_0&matching_block_id=287869402_261901691_2_0_0&sr_pri_blocks=287869402_261901691_2_0_0__4950
8,Angkor Sweet Night Hotel,"137,875","Wat Bo Area, Siem Reap | 1.3 km from centre",https://www.booking.com/hotel/kh/lay-sung-angkor-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=309&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=112285507_244456410_0_42_0&highlighted_blocks=112285507_244456410_0_42_0&matching_block_id=112285507_244456410_0_42_0&sr_pri_blocks=112285507_244456410_0_42_0__3402
9,Villa D Riverside Boutique Hotel,"155,950","Charles de Gaulle, Siem Reap | 1.4 km from centre",https://www.booking.com/hotel/kh/velkommen-boutique-villa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=310&sr_order=popularity&srpvid=912876f006a502f0&srepoch=1680022498&all_sr_blocks=186316904_230828996_2_2_0&highlighted_blocks=186316904_230828996_2_2_0&matching_block_id=186316904_230828996_2_2_0&sr_pri_blocks=186316904_230828996_2_2_0__3848&from_sustainable_property_sr=1
