,Hotel,Price,Location,Url
10,Ratana Angkor Hotel,"194,532","National Road 6, Siem Reap | 2.6 km from centre",https://www.booking.com/hotel/kh/neat-pearly-angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=311&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=281516111_126978438_0_0_0&highlighted_blocks=281516111_126978438_0_0_0&matching_block_id=281516111_126978438_0_0_0&sr_pri_blocks=281516111_126978438_0_0_0__4800
11,Cambana d'Angkor Suites,"248,029","National Road 6, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/cambana-d-39-angkor-residence.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=312&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=119639201_234620463_0_42_0&highlighted_blocks=119639201_234620463_0_42_0&matching_block_id=119639201_234620463_0_42_0&sr_pri_blocks=119639201_234620463_0_42_0__6120&from_sustainable_property_sr=1
12,Authentic Khmer Village Resort,"529,007",Siem Reap | 1.8 km from centre,https://www.booking.com/hotel/kh/tan-sour-resort.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=313&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=202700335_295232432_0_1_0&highlighted_blocks=202700335_295232432_0_1_0&matching_block_id=202700335_295232432_0_1_0&sr_pri_blocks=202700335_295232432_0_1_0__13053&from_sustainable_property_sr=1
13,Danube villa,"60,791","Sok San Road, Siem Reap | 1.3 km from centre",https://www.booking.com/hotel/kh/danube-villa-krong-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=314&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=851157502_352409635_2_2_0&highlighted_blocks=851157502_352409635_2_2_0&matching_block_id=851157502_352409635_2_2_0&sr_pri_blocks=851157502_352409635_2_2_0__1500
14,Aborest Tropical Hostel,"181,199",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/aborest-tropical-hostel-krong-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=315&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=680094101_277276040_2_0_0&highlighted_blocks=680094101_277276040_2_0_0&matching_block_id=680094101_277276040_2_0_0&sr_pri_blocks=680094101_277276040_2_0_0__4471&from_sustainable_property_sr=1
15,La Villa du Bonheur,"94,065",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/la-villa-du-bonheur.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=316&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=119951110_263831701_0_42_0&highlighted_blocks=119951110_263831701_0_42_0&matching_block_id=119951110_263831701_0_42_0&sr_pri_blocks=119951110_263831701_0_42_0__2321&from_sustainable_property_sr=1
16,Heng Long Villa,"81,055","Taphul Village Area, Siem Reap | 450 m from centre",https://www.booking.com/hotel/kh/heng-long-villa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=317&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=892006901_369940384_2_0_0&highlighted_blocks=892006901_369940384_2_0_0&matching_block_id=892006901_369940384_2_0_0&sr_pri_blocks=892006901_369940384_2_0_0__2000&from_sustainable_property_sr=1
17,Vihara Angkor,"154,005","Wat Bo Area, Siem Reap | 1.2 km from centre",https://www.booking.com/hotel/kh/vihara-residence.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=318&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=274631313_362569865_0_0_0&highlighted_blocks=274631313_362569865_0_0_0&matching_block_id=274631313_362569865_0_0_0&sr_pri_blocks=274631313_362569865_0_0_0__3800&from_sustainable_property_sr=1
18,Wat Bo House,"935,255","Wat Bo Area, Siem Reap | 0.9 km from centre",https://www.booking.com/hotel/kh/wat-bo-house.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=319&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=508562201_364034227_9_2_0&highlighted_blocks=508562201_364034227_9_2_0&matching_block_id=508562201_364034227_9_2_0&sr_pri_blocks=508562201_364034227_9_2_0__23077&from_sustainable_property_sr=1
19,Archaic House,"96,294",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/archaic-house.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=320&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=944868301_366934494_2_0_0&highlighted_blocks=944868301_366934494_2_0_0&matching_block_id=944868301_366934494_2_0_0&sr_pri_blocks=944868301_366934494_2_0_0__2376&from_sustainable_property_sr=1
