,Hotel,Price,Location,Url
10,Star Bar Rooms,"94,835",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/la-palmeraie-d-angkor-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=340&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=27417801_343975857_0_41_0&highlighted_blocks=27417801_343975857_0_41_0&matching_block_id=27417801_343975857_0_41_0&sr_pri_blocks=27417801_343975857_0_41_0__16380&tpi_r=2&from_sustainable_property_sr=1
11,BB Angkor Residence,"218,849","Taphul Village Area, Siem Reap | 500 m from centre",https://www.booking.com/hotel/kh/downtown-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=341&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=30484808_187922734_0_42_0&highlighted_blocks=30484808_187922734_0_42_0&matching_block_id=30484808_187922734_0_42_0&sr_pri_blocks=30484808_187922734_0_42_0__2340&tpi_r=2&from_sustainable_property_sr=1
12,Amazing Palm Resort,"389,065",Siem Reap | 2.7 km from centre,https://www.booking.com/hotel/kh/bb-angkor-residence.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=342&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=219062101_203435723_2_2_0&highlighted_blocks=219062101_203435723_2_2_0&matching_block_id=219062101_203435723_2_2_0&sr_pri_blocks=219062101_203435723_2_2_0__5400&tpi_r=2
13,Landing Gold by Amatak,"271,697",Siem Reap | 1.5 km from centre,https://www.booking.com/hotel/kh/amazing-palm-resort-9r8m-m43-icf-rd-krong-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=343&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=973577303_369750366_2_1_0&highlighted_blocks=973577303_369750366_2_1_0&matching_block_id=973577303_369750366_2_1_0&sr_pri_blocks=973577303_369750366_2_1_0__9600&tpi_r=2&from_sustainable_property_sr=1
14,The Golden Boutique Hotel,"401,223",Siem Reap | 0.8 km from centre,https://www.booking.com/hotel/kh/landing-gold-villa-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=344&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=124808707_0_2_0_0&highlighted_blocks=124808707_0_2_0_0&matching_block_id=124808707_0_2_0_0&sr_pri_blocks=124808707_0_2_0_0__6704&tpi_r=1
15,Smiling Hotel,"242,233",Siem Reap | 2.4 km from centre,https://www.booking.com/hotel/kh/the-golden-boutique-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=345&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=931724401_365242796_2_10_0&highlighted_blocks=931724401_365242796_2_10_0&matching_block_id=931724401_365242796_2_10_0&sr_pri_blocks=931724401_365242796_2_10_0__9900&tpi_r=2&from_sustainable_property_sr=1
16,Angkor Rural Boutique Resort,"346,511",Siem Reap | 6.3 km from centre,https://www.booking.com/hotel/kh/smiling-and-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=346&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__5977&tpi_r=1
17,Homesteading Siem Reap,"226,955","Wat Bo Area, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/angkor-rural-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=347&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=77526606_97931393_2_0_0&highlighted_blocks=77526606_97931393_2_0_0&matching_block_id=77526606_97931393_2_0_0&sr_pri_blocks=77526606_97931393_2_0_0__8550&tpi_r=2
18,Royal Empire Hotel,"173,985","National Road 6, Siem Reap | 2.1 km from centre",https://www.booking.com/hotel/kh/wat-bo-inn-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=348&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=915547602_363019374_0_42_0&highlighted_blocks=915547602_363019374_0_42_0&matching_block_id=915547602_363019374_0_42_0&sr_pri_blocks=915547602_363019374_0_42_0__5600&tpi_r=2&from_sustainable_property_sr=1
19,Siemreap City Residence,"230,764",Siem Reap | 1.9 km from centre,https://www.booking.com/hotel/kh/royal-empire.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=349&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=24510501_0_2_1_0&highlighted_blocks=24510501_0_2_1_0&matching_block_id=24510501_0_2_1_0&sr_pri_blocks=24510501_0_2_1_0__4293&tpi_r=1&from_sustainable_property_sr=1
