,Hotel,Price,Location,Url
0,NLCO Homestay,"40,528",Siem Reap | 3.5 km from centre,https://www.booking.com/hotel/kh/nlco-homestay.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=391&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=141605304_94164692_2_42_0&highlighted_blocks=141605304_94164692_2_42_0&matching_block_id=141605304_94164692_2_42_0&sr_pri_blocks=141605304_94164692_2_42_0__1000&tpi_r=2
1,1-2pax AC room 3 including kitchen,"52,686",Siem Reap | 3.9 km from centre,https://www.booking.com/hotel/kh/1-2pax-fan-room-3-including-kitchen.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=392&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=928552401_364818030_2_0_0&highlighted_blocks=928552401_364818030_2_0_0&matching_block_id=928552401_364818030_2_0_0&sr_pri_blocks=928552401_364818030_2_0_0__1300&tpi_r=2
2,Dragon Royal Angkor Hotel,"121,583","National Road 6, Siem Reap | 2.4 km from centre",https://www.booking.com/hotel/kh/dragon-royal.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=393&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=25610106_261909598_0_42_0&highlighted_blocks=25610106_261909598_0_42_0&matching_block_id=25610106_261909598_0_42_0&sr_pri_blocks=25610106_261909598_0_42_0__3000&tpi_r=2
3,HanumanAlaya Villa - Managed by Montra Nivesha,"510,648","Charles de Gaulle, Siem Reap | 1.5 km from centre",https://www.booking.com/hotel/kh/hanumanalaya-villa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=394&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=48029301_364439853_0_41_0&highlighted_blocks=48029301_364439853_0_41_0&matching_block_id=48029301_364439853_0_41_0&sr_pri_blocks=48029301_364439853_0_41_0__12600&tpi_r=2&from_sustainable_property_sr=1
4,Angkor Tempora Boutique,"200,612",Siem Reap | 350 m from centre,https://www.booking.com/hotel/kh/angkor-tempora-boutique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=395&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=969655501_369372502_2_41_0&highlighted_blocks=969655501_369372502_2_41_0&matching_block_id=969655501_369372502_2_41_0&sr_pri_blocks=969655501_369372502_2_41_0__4950&tpi_r=2&from_sustainable_property_sr=1
5,Urban Residences - Siem Reap,"487,871",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/urban-residences-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=396&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__12038&tpi_r=1
6,The Bygone,"141,847",Siem Reap | 0.9 km from centre,https://www.booking.com/hotel/kh/the-bygone.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=397&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=931835901_365254735_2_41_0&highlighted_blocks=931835901_365254735_2_41_0&matching_block_id=931835901_365254735_2_41_0&sr_pri_blocks=931835901_365254735_2_41_0__3500&tpi_r=2&from_sustainable_property_sr=1
7,Homesteading Siem Reap,"170,216","Wat Bo Area, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/wat-bo-inn-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=398&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=915547602_363019374_0_42_0&highlighted_blocks=915547602_363019374_0_42_0&matching_block_id=915547602_363019374_0_42_0&sr_pri_blocks=915547602_363019374_0_42_0__4200&tpi_r=2&from_sustainable_property_sr=1
8,Grange,"262,619",Siem Reap | 1.4 km from centre,https://www.booking.com/hotel/kh/grange.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=399&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=883308801_357645123_2_1_0&highlighted_blocks=883308801_357645123_2_1_0&matching_block_id=883308801_357645123_2_1_0&sr_pri_blocks=883308801_357645123_2_1_0__6480&tpi_r=2&from_sustainable_property_sr=1
9,Waka Villa Private Resort & Spa - Adults Only,"1,451,699",Siem Reap | 2 km from centre,https://www.booking.com/hotel/kh/waka-villa-private-resort-amp-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=400&sr_order=popularity&srpvid=013a76f44f2c04dc&srepoch=1680022506&all_sr_blocks=933286903_367355041_2_41_0&highlighted_blocks=933286903_367355041_2_41_0&matching_block_id=933286903_367355041_2_41_0&sr_pri_blocks=933286903_367355041_2_41_0__35820&tpi_r=2&from_sustainable_property_sr=1
