,Hotel,Price,Location,Url
0,Pacific Hotel & Spa,"297,108","National Road 6, Siem Reap | 4.1 km from centre",https://www.booking.com/hotel/kh/pacific-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=241&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=23699706_0_2_1_0&highlighted_blocks=23699706_0_2_1_0&matching_block_id=23699706_0_2_1_0&sr_pri_blocks=23699706_0_2_1_0__7331&tpi_r=1
1,Authentic Khmer Village Resort,"482,684",Siem Reap | 1.8 km from centre,https://www.booking.com/hotel/kh/tan-sour-resort.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=242&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__11910&tpi_r=1&from_sustainable_property_sr=1
2,Damnak Riverside Villa,"186,751",Siem Reap | 0.9 km from centre,https://www.booking.com/hotel/kh/cheata-inn.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=243&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=469769503_145600948_0_41_0&highlighted_blocks=469769503_145600948_0_41_0&matching_block_id=469769503_145600948_0_41_0&sr_pri_blocks=469769503_145600948_0_41_0__4608&tpi_r=2&from_sustainable_property_sr=1
3,The Grand Cyclo Boutique Suite & Spa,"392,307","Charles de Gaulle, Siem Reap | 1.4 km from centre",https://www.booking.com/hotel/kh/the-cyclo-d-39-angkor-boutique-suite.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=244&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=207345001_230057658_0_2_0&highlighted_blocks=207345001_230057658_0_2_0&matching_block_id=207345001_230057658_0_2_0&sr_pri_blocks=207345001_230057658_0_2_0__9680&tpi_r=2&from_sustainable_property_sr=1
4,Pool Party Hostel,"31,287",Siem Reap | 1.7 km from centre,https://www.booking.com/hotel/kh/pool-party-hostel.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=245&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__772&tpi_r=1
5,Heritage Suites Hotel,"435,226",Siem Reap | 0.9 km from centre,https://www.booking.com/hotel/kh/heritage-suites-relais-amp-chateaux.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=246&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=47414801_0_2_1_0&highlighted_blocks=47414801_0_2_1_0&matching_block_id=47414801_0_2_1_0&sr_pri_blocks=47414801_0_2_1_0__10739&tpi_r=1&from_sustainable_property_sr=1
6,Diamond D'angkor Boutique,"190,074","Sok San Road, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/diamond-d-angkor-butique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=247&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=63735408_0_2_0_0&highlighted_blocks=63735408_0_2_0_0&matching_block_id=63735408_0_2_0_0&sr_pri_blocks=63735408_0_2_0_0__4690&tpi_r=1&from_sustainable_property_sr=1
7,Central Corner Suite,"215,931","Wat Bo Area, Siem Reap | 1 km from centre",https://www.booking.com/hotel/kh/veha-retreat.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=248&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=628898002_245087477_0_42_0&highlighted_blocks=628898002_245087477_0_42_0&matching_block_id=628898002_245087477_0_42_0&sr_pri_blocks=628898002_245087477_0_42_0__5328&tpi_r=2&from_sustainable_property_sr=1
8,Archaic House,"145,899",Siem Reap | 1 km from centre,https://www.booking.com/hotel/kh/archaic-house.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=249&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=944868301_366934494_2_0_0&highlighted_blocks=944868301_366934494_2_0_0&matching_block_id=944868301_366934494_2_0_0&sr_pri_blocks=944868301_366934494_2_0_0__3600&tpi_r=2&from_sustainable_property_sr=1
9,BayStone Resort,"127,662",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/damnak-kunthea-villa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=250&sr_order=popularity&srpvid=54a276367cf300f2&srepoch=1680022127&all_sr_blocks=77596715_113650713_0_0_0&highlighted_blocks=77596715_113650713_0_0_0&matching_block_id=77596715_113650713_0_0_0&sr_pri_blocks=77596715_113650713_0_0_0__3150&tpi_r=2
