,Name,Facilities
0,Smart Angkor Boutique,Airport shuttle 
1,Smart Angkor Boutique,Non-smoking rooms 
2,Smart Angkor Boutique,Free WiFi 
3,Smart Angkor Boutique,Family rooms 
4,Smart Angkor Boutique,24-hour front desk 
5,Smart Angkor Boutique,Terrace 
6,Smart Angkor Boutique,Air conditioning 
7,Smart Angkor Boutique,Bar 
8,Smart Angkor Boutique,Fabulous breakfast
9,Smart Angkor Boutique,Airport shuttle 
10,Smart Angkor Boutique,Non-smoking rooms 
11,Smart Angkor Boutique,Free WiFi 
12,Smart Angkor Boutique,Family rooms 
13,Smart Angkor Boutique,24-hour front desk 
14,Smart Angkor Boutique,Terrace 
15,Smart Angkor Boutique,Air conditioning 
16,Smart Angkor Boutique,Bar 
17,Smart Angkor Boutique,Fabulous breakfast
