,Name,Facilities
0,Maison 557,2 swimming pools 
1,Maison 557,Airport shuttle 
2,Maison 557,Non-smoking rooms 
3,Maison 557,Room service 
4,Maison 557,Restaurant 
5,Maison 557,Facilities for disabled guests 
6,Maison 557,Free WiFi 
7,Maison 557,Family rooms 
8,Maison 557,Bar 
9,Maison 557,Breakfast 
10,Maison 557,2 swimming pools 
11,Maison 557,Airport shuttle 
12,Maison 557,Non-smoking rooms 
13,Maison 557,Room service 
14,Maison 557,Restaurant 
15,Maison 557,Facilities for disabled guests 
16,Maison 557,Free WiFi 
17,Maison 557,Family rooms 
18,Maison 557,Bar 
19,Maison 557,Breakfast 
