,Name,Facilities
0,Ravoeun Angkor Boutique,Outdoor swimming pool 
1,Ravoeun Angkor Boutique,Airport shuttle (free) 
2,Ravoeun Angkor Boutique,Non-smoking rooms 
3,Ravoeun Angkor Boutique,Free parking 
4,Ravoeun Angkor Boutique,Terrace 
5,Ravoeun Angkor Boutique,Garden 
6,Ravoeun Angkor Boutique,Air conditioning 
7,Ravoeun Angkor Boutique,Bar 
8,Ravoeun Angkor Boutique,Outdoor swimming pool 
9,Ravoeun Angkor Boutique,Airport shuttle (free) 
10,Ravoeun Angkor Boutique,Non-smoking rooms 
11,Ravoeun Angkor Boutique,Free parking 
12,Ravoeun Angkor Boutique,Terrace 
13,Ravoeun Angkor Boutique,Garden 
14,Ravoeun Angkor Boutique,Air conditioning 
15,Ravoeun Angkor Boutique,Bar 
