,Name,Facilities
0,Angkor Aurora,Outdoor swimming pool 
1,Angkor Aurora,Non-smoking rooms 
2,Angkor Aurora,Spa and wellness centre 
3,Angkor Aurora,Room service 
4,Angkor Aurora,Free parking 
5,Angkor Aurora,Restaurant 
6,Angkor Aurora,Free WiFi 
7,Angkor Aurora,Facilities for disabled guests 
8,Angkor Aurora,Tea/coffee maker in all rooms 
9,Angkor Aurora,Bar 
10,Angkor Aurora,Outdoor swimming pool 
11,Angkor Aurora,Non-smoking rooms 
12,Angkor Aurora,Spa and wellness centre 
13,Angkor Aurora,Room service 
14,Angkor Aurora,Free parking 
15,Angkor Aurora,Restaurant 
16,Angkor Aurora,Free WiFi 
17,Angkor Aurora,Facilities for disabled guests 
18,Angkor Aurora,Tea/coffee maker in all rooms 
19,Angkor Aurora,Bar 
