,Name,Facilities
0,Siem Reap Capital Hotel & Spa,Outdoor swimming pool 
1,Siem Reap Capital Hotel & Spa,Airport shuttle 
2,Siem Reap Capital Hotel & Spa,Non-smoking rooms 
3,Siem Reap Capital Hotel & Spa,Free parking 
4,Siem Reap Capital Hotel & Spa,Restaurant 
5,Siem Reap Capital Hotel & Spa,Free WiFi 
6,Siem Reap Capital Hotel & Spa,Family rooms 
7,Siem Reap Capital Hotel & Spa,Tea/coffee maker in all rooms 
8,Siem Reap Capital Hotel & Spa,Bar 
9,Siem Reap Capital Hotel & Spa,Breakfast 
10,Siem Reap Capital Hotel & Spa,Outdoor swimming pool 
11,Siem Reap Capital Hotel & Spa,Airport shuttle 
12,Siem Reap Capital Hotel & Spa,Non-smoking rooms 
13,Siem Reap Capital Hotel & Spa,Free parking 
14,Siem Reap Capital Hotel & Spa,Restaurant 
15,Siem Reap Capital Hotel & Spa,Free WiFi 
16,Siem Reap Capital Hotel & Spa,Family rooms 
17,Siem Reap Capital Hotel & Spa,Tea/coffee maker in all rooms 
18,Siem Reap Capital Hotel & Spa,Bar 
19,Siem Reap Capital Hotel & Spa,Breakfast 
