,Name,Facilities
0,Central Night Hotel,Kolam renang luaran 
1,Central Night Hotel,Shuttle lapangan terbang (percuma) 
2,Central Night Hotel,Bilik bebas rokok 
3,Central Night Hotel,Khidmat bilik 
4,Central Night Hotel,Parking percuma 
5,Central Night Hotel,Restoran 
6,Central Night Hotel,WiFi percuma 
7,Central Night Hotel,Mesen membuat teh/kopi di semua bilik 
8,Central Night Hotel,Bar 
9,Central Night Hotel,Sarapan 
10,Central Night Hotel,Kolam renang luaran 
11,Central Night Hotel,Shuttle lapangan terbang (percuma) 
12,Central Night Hotel,Bilik bebas rokok 
13,Central Night Hotel,Khidmat bilik 
14,Central Night Hotel,Parking percuma 
15,Central Night Hotel,Restoran 
16,Central Night Hotel,WiFi percuma 
17,Central Night Hotel,Mesen membuat teh/kopi di semua bilik 
18,Central Night Hotel,Bar 
19,Central Night Hotel,Sarapan 
