,Name,Facilities
0,Happy Heng Heang Guesthouse,Airport shuttle 
1,Happy Heng Heang Guesthouse,Non-smoking rooms 
2,Happy Heng Heang Guesthouse,Room service 
3,Happy Heng Heang Guesthouse,Restaurant 
4,Happy Heng Heang Guesthouse,Free WiFi 
5,Happy Heng Heang Guesthouse,Family rooms 
6,Happy Heng Heang Guesthouse,24-hour front desk 
7,Happy Heng Heang Guesthouse,Air conditioning 
8,Happy Heng Heang Guesthouse,Bar 
9,Happy Heng Heang Guesthouse,Breakfast 
10,Happy Heng Heang Guesthouse,Airport shuttle 
11,Happy Heng Heang Guesthouse,Non-smoking rooms 
12,Happy Heng Heang Guesthouse,Room service 
13,Happy Heng Heang Guesthouse,Restaurant 
14,Happy Heng Heang Guesthouse,Free WiFi 
15,Happy Heng Heang Guesthouse,Family rooms 
16,Happy Heng Heang Guesthouse,24-hour front desk 
17,Happy Heng Heang Guesthouse,Air conditioning 
18,Happy Heng Heang Guesthouse,Bar 
19,Happy Heng Heang Guesthouse,Breakfast 
