,Name,Facilities
0,King Grand Boutique Hotel,Outdoor swimming pool 
1,King Grand Boutique Hotel,Airport shuttle 
2,King Grand Boutique Hotel,Non-smoking rooms 
3,King Grand Boutique Hotel,Free WiFi 
4,King Grand Boutique Hotel,Family rooms 
5,King Grand Boutique Hotel,24-hour front desk 
6,King Grand Boutique Hotel,Air conditioning 
7,King Grand Boutique Hotel,Tea/coffee maker in all rooms 
8,King Grand Boutique Hotel,Outdoor swimming pool 
9,King Grand Boutique Hotel,Airport shuttle 
10,King Grand Boutique Hotel,Non-smoking rooms 
11,King Grand Boutique Hotel,Free WiFi 
12,King Grand Boutique Hotel,Family rooms 
13,King Grand Boutique Hotel,24-hour front desk 
14,King Grand Boutique Hotel,Air conditioning 
15,King Grand Boutique Hotel,Tea/coffee maker in all rooms 
