,Name,Facilities
0,Le Chanthou Boutique,Kolam renang luaran 
1,Le Chanthou Boutique,Shuttle lapangan terbang 
2,Le Chanthou Boutique,Bilik bebas rokok 
3,Le Chanthou Boutique,Pusat spa dan kesihatan 
4,Le Chanthou Boutique,Khidmat bilik 
5,Le Chanthou Boutique,Parking percuma 
6,Le Chanthou Boutique,Restoran 
7,Le Chanthou Boutique,WiFi percuma 
8,Le Chanthou Boutique,Bar 
9,Le Chanthou Boutique,Sarapan 
10,Le Chanthou Boutique,Kolam renang luaran 
11,Le Chanthou Boutique,Shuttle lapangan terbang 
12,Le Chanthou Boutique,Bilik bebas rokok 
13,Le Chanthou Boutique,Pusat spa dan kesihatan 
14,Le Chanthou Boutique,Khidmat bilik 
15,Le Chanthou Boutique,Parking percuma 
16,Le Chanthou Boutique,Restoran 
17,Le Chanthou Boutique,WiFi percuma 
18,Le Chanthou Boutique,Bar 
19,Le Chanthou Boutique,Sarapan 
