,Name,Facilities
0,Memoire Palace Resort & Spa,2 swimming pools 
1,Memoire Palace Resort & Spa,Airport shuttle 
2,Memoire Palace Resort & Spa,Non-smoking rooms 
3,Memoire Palace Resort & Spa,Spa and wellness centre 
4,Memoire Palace Resort & Spa,Fitness centre 
5,Memoire Palace Resort & Spa,Room service 
6,Memoire Palace Resort & Spa,Free parking 
7,Memoire Palace Resort & Spa,Restaurant 
8,Memoire Palace Resort & Spa,Bar 
9,Memoire Palace Resort & Spa,Breakfast 
10,Memoire Palace Resort & Spa,2 swimming pools 
11,Memoire Palace Resort & Spa,Airport shuttle 
12,Memoire Palace Resort & Spa,Non-smoking rooms 
13,Memoire Palace Resort & Spa,Spa and wellness centre 
14,Memoire Palace Resort & Spa,Fitness centre 
15,Memoire Palace Resort & Spa,Room service 
16,Memoire Palace Resort & Spa,Free parking 
17,Memoire Palace Resort & Spa,Restaurant 
18,Memoire Palace Resort & Spa,Bar 
19,Memoire Palace Resort & Spa,Breakfast 
