,Name,Facilities
0,Apsara Centrepole Hotel,Outdoor swimming pool 
1,Apsara Centrepole Hotel,Airport shuttle 
2,Apsara Centrepole Hotel,Non-smoking rooms 
3,Apsara Centrepole Hotel,Spa and wellness centre 
4,Apsara Centrepole Hotel,Room service 
5,Apsara Centrepole Hotel,Restaurant 
6,Apsara Centrepole Hotel,Free WiFi 
7,Apsara Centrepole Hotel,24-hour front desk 
8,Apsara Centrepole Hotel,Bar 
9,Apsara Centrepole Hotel,Breakfast 
10,Apsara Centrepole Hotel,Outdoor swimming pool 
11,Apsara Centrepole Hotel,Airport shuttle 
12,Apsara Centrepole Hotel,Non-smoking rooms 
13,Apsara Centrepole Hotel,Spa and wellness centre 
14,Apsara Centrepole Hotel,Room service 
15,Apsara Centrepole Hotel,Restaurant 
16,Apsara Centrepole Hotel,Free WiFi 
17,Apsara Centrepole Hotel,24-hour front desk 
18,Apsara Centrepole Hotel,Bar 
19,Apsara Centrepole Hotel,Breakfast 
