,Name,Facilities
0,Malenne d'Angkor Residence,Outdoor swimming pool 
1,Malenne d'Angkor Residence,Airport shuttle 
2,Malenne d'Angkor Residence,Non-smoking rooms 
3,Malenne d'Angkor Residence,Free parking 
4,Malenne d'Angkor Residence,Restaurant 
5,Malenne d'Angkor Residence,Free WiFi 
6,Malenne d'Angkor Residence,24-hour front desk 
7,Malenne d'Angkor Residence,Terrace 
8,Malenne d'Angkor Residence,Garden 
9,Malenne d'Angkor Residence,Bar 
10,Malenne d'Angkor Residence,Outdoor swimming pool 
11,Malenne d'Angkor Residence,Airport shuttle 
12,Malenne d'Angkor Residence,Non-smoking rooms 
13,Malenne d'Angkor Residence,Free parking 
14,Malenne d'Angkor Residence,Restaurant 
15,Malenne d'Angkor Residence,Free WiFi 
16,Malenne d'Angkor Residence,24-hour front desk 
17,Malenne d'Angkor Residence,Terrace 
18,Malenne d'Angkor Residence,Garden 
19,Malenne d'Angkor Residence,Bar 
