,Name,Facilities
0,Pandora Suite D'Angkor,Outdoor swimming pool 
1,Pandora Suite D'Angkor,Non-smoking rooms 
2,Pandora Suite D'Angkor,Spa and wellness centre 
3,Pandora Suite D'Angkor,Room service 
4,Pandora Suite D'Angkor,Free parking 
5,Pandora Suite D'Angkor,Restaurant 
6,Pandora Suite D'Angkor,Facilities for disabled guests 
7,Pandora Suite D'Angkor,Tea/coffee maker in all rooms 
8,Pandora Suite D'Angkor,Bar 
9,Pandora Suite D'Angkor,Breakfast 
10,Pandora Suite D'Angkor,Outdoor swimming pool 
11,Pandora Suite D'Angkor,Non-smoking rooms 
12,Pandora Suite D'Angkor,Spa and wellness centre 
13,Pandora Suite D'Angkor,Room service 
14,Pandora Suite D'Angkor,Free parking 
15,Pandora Suite D'Angkor,Restaurant 
16,Pandora Suite D'Angkor,Facilities for disabled guests 
17,Pandora Suite D'Angkor,Tea/coffee maker in all rooms 
18,Pandora Suite D'Angkor,Bar 
19,Pandora Suite D'Angkor,Breakfast 
