,Name,Facilities
0,Khmer Mansion Boutique Hotel,Outdoor swimming pool 
1,Khmer Mansion Boutique Hotel,Airport shuttle 
2,Khmer Mansion Boutique Hotel,Non-smoking rooms 
3,Khmer Mansion Boutique Hotel,Free parking 
4,Khmer Mansion Boutique Hotel,Facilities for disabled guests 
5,Khmer Mansion Boutique Hotel,Free WiFi 
6,Khmer Mansion Boutique Hotel,Family rooms 
7,Khmer Mansion Boutique Hotel,24-hour front desk 
8,Khmer Mansion Boutique Hotel,Terrace 
9,Khmer Mansion Boutique Hotel,Superb breakfast
10,Khmer Mansion Boutique Hotel,Outdoor swimming pool 
11,Khmer Mansion Boutique Hotel,Airport shuttle 
12,Khmer Mansion Boutique Hotel,Non-smoking rooms 
13,Khmer Mansion Boutique Hotel,Free parking 
14,Khmer Mansion Boutique Hotel,Facilities for disabled guests 
15,Khmer Mansion Boutique Hotel,Free WiFi 
16,Khmer Mansion Boutique Hotel,Family rooms 
17,Khmer Mansion Boutique Hotel,24-hour front desk 
18,Khmer Mansion Boutique Hotel,Terrace 
19,Khmer Mansion Boutique Hotel,Superb breakfast
