,Name,Facilities
0,Maison Polanka,Indoor swimming pool 
1,Maison Polanka,Airport shuttle 
2,Maison Polanka,Non-smoking rooms 
3,Maison Polanka,Spa and wellness centre 
4,Maison Polanka,Room service 
5,Maison Polanka,Restaurant 
6,Maison Polanka,Free WiFi 
7,Maison Polanka,Family rooms 
8,Maison Polanka,Bar 
9,Maison Polanka,Breakfast 
10,Maison Polanka,Indoor swimming pool 
11,Maison Polanka,Airport shuttle 
12,Maison Polanka,Non-smoking rooms 
13,Maison Polanka,Spa and wellness centre 
14,Maison Polanka,Room service 
15,Maison Polanka,Restaurant 
16,Maison Polanka,Free WiFi 
17,Maison Polanka,Family rooms 
18,Maison Polanka,Bar 
19,Maison Polanka,Breakfast 
