,Name,Facilities
0,Beyond Yangon Inn,Kolam renang luaran 
1,Beyond Yangon Inn,Shuttle lapangan terbang 
2,Beyond Yangon Inn,Bilik bebas rokok 
3,Beyond Yangon Inn,Khidmat bilik 
4,Beyond Yangon Inn,Restoran 
5,Beyond Yangon Inn,WiFi percuma 
6,Beyond Yangon Inn,Bilik keluarga 
7,Beyond Yangon Inn,Meja penyambut tamu 24/7 
8,Beyond Yangon Inn,Mesen membuat teh/kopi di semua bilik 
9,Beyond Yangon Inn,Sarapan 
10,Beyond Yangon Inn,Kolam renang luaran 
11,Beyond Yangon Inn,Shuttle lapangan terbang 
12,Beyond Yangon Inn,Bilik bebas rokok 
13,Beyond Yangon Inn,Khidmat bilik 
14,Beyond Yangon Inn,Restoran 
15,Beyond Yangon Inn,WiFi percuma 
16,Beyond Yangon Inn,Bilik keluarga 
17,Beyond Yangon Inn,Meja penyambut tamu 24/7 
18,Beyond Yangon Inn,Mesen membuat teh/kopi di semua bilik 
19,Beyond Yangon Inn,Sarapan 
