,Name,Facilities
0,UTEY Hotel,Airport shuttle 
1,UTEY Hotel,Non-smoking rooms 
2,UTEY Hotel,Room service 
3,UTEY Hotel,Free parking 
4,UTEY Hotel,Free WiFi 
5,UTEY Hotel,Family rooms 
6,UTEY Hotel,24-hour front desk 
7,UTEY Hotel,Air conditioning 
8,UTEY Hotel,Laundry 
9,UTEY Hotel,Lift 
10,UTEY Hotel,Airport shuttle 
11,UTEY Hotel,Non-smoking rooms 
12,UTEY Hotel,Room service 
13,UTEY Hotel,Free parking 
14,UTEY Hotel,Free WiFi 
15,UTEY Hotel,Family rooms 
16,UTEY Hotel,24-hour front desk 
17,UTEY Hotel,Air conditioning 
18,UTEY Hotel,Laundry 
19,UTEY Hotel,Lift 
