,Name,Facilities
0,DEN HOTEL TOTONOU SIEM REAP,Outdoor swimming pool 
1,DEN HOTEL TOTONOU SIEM REAP,Airport shuttle 
2,DEN HOTEL TOTONOU SIEM REAP,Non-smoking rooms 
3,DEN HOTEL TOTONOU SIEM REAP,Free parking 
4,DEN HOTEL TOTONOU SIEM REAP,Free WiFi 
5,DEN HOTEL TOTONOU SIEM REAP,Family rooms 
6,DEN HOTEL TOTONOU SIEM REAP,Terrace 
7,DEN HOTEL TOTONOU SIEM REAP,Garden 
8,DEN HOTEL TOTONOU SIEM REAP,Air conditioning 
9,DEN HOTEL TOTONOU SIEM REAP,Outdoor swimming pool 
10,DEN HOTEL TOTONOU SIEM REAP,Airport shuttle 
11,DEN HOTEL TOTONOU SIEM REAP,Non-smoking rooms 
12,DEN HOTEL TOTONOU SIEM REAP,Free parking 
13,DEN HOTEL TOTONOU SIEM REAP,Free WiFi 
14,DEN HOTEL TOTONOU SIEM REAP,Family rooms 
15,DEN HOTEL TOTONOU SIEM REAP,Terrace 
16,DEN HOTEL TOTONOU SIEM REAP,Garden 
17,DEN HOTEL TOTONOU SIEM REAP,Air conditioning 
