,Name,Facilities
0,Chamraoen’s Home,Airport shuttle (free) 
1,Chamraoen’s Home,Non-smoking rooms 
2,Chamraoen’s Home,Free parking 
3,Chamraoen’s Home,Restaurant 
4,Chamraoen’s Home,Free WiFi 
5,Chamraoen’s Home,Family rooms 
6,Chamraoen’s Home,24-hour front desk 
7,Chamraoen’s Home,Terrace 
8,Chamraoen’s Home,Garden 
9,Chamraoen’s Home,Tea/coffee maker in all rooms 
10,Chamraoen’s Home,Airport shuttle (free) 
11,Chamraoen’s Home,Non-smoking rooms 
12,Chamraoen’s Home,Free parking 
13,Chamraoen’s Home,Restaurant 
14,Chamraoen’s Home,Free WiFi 
15,Chamraoen’s Home,Family rooms 
16,Chamraoen’s Home,24-hour front desk 
17,Chamraoen’s Home,Terrace 
18,Chamraoen’s Home,Garden 
19,Chamraoen’s Home,Tea/coffee maker in all rooms 
