,Name,Facilities
0,Villa D Riverside Boutique Hotel,Kolam renang luaran 
1,Villa D Riverside Boutique Hotel,Shuttle lapangan terbang 
2,Villa D Riverside Boutique Hotel,Bilik bebas rokok 
3,Villa D Riverside Boutique Hotel,Pusat spa dan kesihatan 
4,Villa D Riverside Boutique Hotel,Khidmat bilik 
5,Villa D Riverside Boutique Hotel,Parking percuma 
6,Villa D Riverside Boutique Hotel,Restoran 
7,Villa D Riverside Boutique Hotel,Mesen membuat teh/kopi di semua bilik 
8,Villa D Riverside Boutique Hotel,Bar 
9,Villa D Riverside Boutique Hotel,Sarapan yang baik
10,Villa D Riverside Boutique Hotel,Kolam renang luaran 
11,Villa D Riverside Boutique Hotel,Shuttle lapangan terbang 
12,Villa D Riverside Boutique Hotel,Bilik bebas rokok 
13,Villa D Riverside Boutique Hotel,Pusat spa dan kesihatan 
14,Villa D Riverside Boutique Hotel,Khidmat bilik 
15,Villa D Riverside Boutique Hotel,Parking percuma 
16,Villa D Riverside Boutique Hotel,Restoran 
17,Villa D Riverside Boutique Hotel,Mesen membuat teh/kopi di semua bilik 
18,Villa D Riverside Boutique Hotel,Bar 
19,Villa D Riverside Boutique Hotel,Sarapan yang baik
