,Name,Facilities
0,Isann Lodge,Kolam renang luaran 
1,Isann Lodge,Shuttle lapangan terbang 
2,Isann Lodge,Bilik bebas rokok 
3,Isann Lodge,Khidmat bilik 
4,Isann Lodge,Parking percuma 
5,Isann Lodge,Restoran 
6,Isann Lodge,WiFi percuma 
7,Isann Lodge,Bilik keluarga 
8,Isann Lodge,Bar 
9,Isann Lodge,Sarapan 
10,Isann Lodge,Kolam renang luaran 
11,Isann Lodge,Shuttle lapangan terbang 
12,Isann Lodge,Bilik bebas rokok 
13,Isann Lodge,Khidmat bilik 
14,Isann Lodge,Parking percuma 
15,Isann Lodge,Restoran 
16,Isann Lodge,WiFi percuma 
17,Isann Lodge,Bilik keluarga 
18,Isann Lodge,Bar 
19,Isann Lodge,Sarapan 
